tanggal,komoditi,satuan,harga
2020-07-09,"Daging Sapi, Lokal, Paha Belakang",Kg,124000
2020-07-10,"Daging Sapi, Lokal, Paha Belakang",Kg,123000
2020-07-13,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-07-14,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-07-15,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-07-16,"Daging Sapi, Lokal, Paha Belakang",Kg,118000
2020-07-17,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-07-20,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-07-21,"Daging Sapi, Lokal, Paha Belakang",Kg,98400
2020-07-22,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
2020-07-23,"Daging Sapi, Lokal, Paha Belakang",Kg,118000
2020-07-24,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-07-27,"Daging Sapi, Lokal, Paha Belakang",Kg,120500
2020-07-28,"Daging Sapi, Lokal, Paha Belakang",Kg,120500
2020-07-29,"Daging Sapi, Lokal, Paha Belakang",Kg,121500
2020-07-30,"Daging Sapi, Lokal, Paha Belakang",Kg,122500
2020-07-01,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,126666.6667
2020-07-02,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,126666.6667
2020-07-03,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,126666.6667
2020-07-06,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,126666.6667
2020-07-07,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,126666.6667
2020-07-08,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
2020-07-09,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
2020-07-10,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,125000
2020-07-13,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,123333.3333
2020-07-14,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,126666.6667
2020-07-15,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
2020-07-16,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,116666.6667
2020-07-17,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,116666.6667
2020-07-20,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,126666.6667
2020-07-21,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,123333.3333
2020-07-22,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,123333.3333
2020-07-23,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,125000
2020-07-24,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,123333.3333
2020-07-27,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,124166.6667
2020-07-28,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,124166.6667
2020-07-29,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120833.3333
2020-07-30,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,122500
2020-07-01,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100833.3333
2020-07-02,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,105833.3333
2020-07-03,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,102500
2020-07-06,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,102500
2020-07-07,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,102500
2020-07-08,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100833.3333
2020-07-09,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,102500
2020-07-10,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,104166.6667
2020-07-13,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100833.3333
2020-07-14,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,97500
2020-07-15,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,97500
2020-07-16,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,97500
2020-07-17,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,104166.6667
2020-07-20,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,99166.66667
2020-07-21,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,102500
2020-07-22,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,97500
2020-07-23,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,97500
2020-07-24,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,97500
2020-07-27,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,99166.66667
2020-07-28,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,99166.66667
2020-07-29,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,99166.66667
2020-07-30,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,99166.66667
2020-07-01,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-02,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-03,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-06,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-07,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-08,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-09,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-10,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-13,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-14,"Daging Sapi, Lokal, Daging, Tetelan",Kg,84166.66667
2020-07-15,"Daging Sapi, Lokal, Daging, Tetelan",Kg,84166.66667
2020-07-16,"Daging Sapi, Lokal, Daging, Tetelan",Kg,70833.33333
2020-07-17,"Daging Sapi, Lokal, Daging, Tetelan",Kg,84166.66667
2020-07-20,"Daging Sapi, Lokal, Daging, Tetelan",Kg,84166.66667
2020-07-21,"Daging Sapi, Lokal, Daging, Tetelan",Kg,84166.66667
2020-07-22,"Daging Sapi, Lokal, Daging, Tetelan",Kg,85833.33333
2020-07-23,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-24,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-27,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-28,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-29,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-30,"Daging Sapi, Lokal, Daging, Tetelan",Kg,87500
2020-07-01,"Daging Sapi, Impor, Beku",Kg,81100
2020-07-02,"Daging Sapi, Impor, Beku",Kg,81100
2020-07-03,"Daging Sapi, Impor, Beku",Kg,81100
2020-07-06,"Daging Sapi, Impor, Beku",Kg,81100
2020-07-07,"Daging Sapi, Impor, Beku",Kg,81100
2020-07-08,"Daging Sapi, Impor, Beku",Kg,81100
2020-07-09,"Daging Sapi, Impor, Beku",Kg,81100
2020-07-10,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-13,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-14,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-15,"Daging Sapi, Impor, Beku",Kg,77766.66667
2020-07-16,"Daging Sapi, Impor, Beku",Kg,77766.66667
